"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"Peter Pan: Return to Neverland",2020-02-15,"Adventure","G",48430258,70269715
"Reign of Fire",2020-02-19,"Action","PG-13",43061982,62480631
"Sorority Boys",2020-03-22,"Comedy","R",10198766,14797862
"The Rookie",2020-03-29,"Drama","G",75600072,109691666
"Big Trouble",2020-04-05,"Comedy","PG-13",7262288,10537188
"ESPN's Ultimate X - The Movie",2020-05-10,"Documentary","PG",4197175,6089874
"Bad Company",2020-06-07,"Action","PG-13",30157016,43756218
"Lilo & Stitch",2020-06-21,"Adventure","PG",145771527,211506702
"The Country Bears",2020-07-26,"Adventure","G",16988996,24650121
"Signs",2020-08-02,"Thriller/Suspense","PG-13",227965690,330754439
"Sen to Chihiro no Kamikakushi",2020-09-20,"Adventure","PG",10049886,14338992
"Sweet Home Alabama",2020-09-27,"Comedy","PG-13",127214072,184521151
"Moonlight Mile",2020-09-27,"Drama","PG-13",6830957,9909094
"Tuck Everlasting",2020-10-11,"Drama","PG",19161999,27789959
"The Santa Clause 2",2020-11-01,"Comedy","G",139225854,201959095
"Treasure Planet",2020-11-27,"Adventure","PG",38120554,55189145
"The Hot Chick",2020-12-13,"Comedy","PG-13",35081550,50624654
"25th Hour",2020-12-19,"Drama","R",13084595,18325463
"The Recruit",2020-01-31,"Thriller/Suspense","PG-13",52784696,73793522
"Shanghai Knights",2020-02-07,"Adventure","PG-13",60470220,84537962
"The Jungle Book 2",2020-02-14,"Adventure","G",47901582,66966883
"Bringing Down the House",2020-03-07,"Comedy","PG-13",132675402,185481530
"Piglet's Big Movie",2020-03-21,"Comedy","G",23103423,32298812
"Ghosts of the Abyss",2020-04-11,"Documentary","G",17093668,23803108
"Holes",2020-04-18,"Drama","PG",67383924,94203395
"The Lizzie McGuire Movie",2020-05-02,"Comedy","PG",42734455,59743191
"Finding Nemo",2020-05-30,"Adventure","G",380529370,518148559
"Pirates of the Caribbean: The Curse o…",2020-07-09,"Adventure","PG-13",305411224,426967926
"Freaky Friday",2020-08-06,"Comedy","PG",110222438,154090360
"Open Range",2020-08-15,"Western","R",58331254,81547672
"Cold Creek Manor",2020-09-19,"Thriller/Suspense","R",21384035,29895090
"Under the Tuscan Sun",2020-09-26,"Comedy","PG-13",43601508,60944053
"Veronica Guerin",2020-10-17,"Drama","R",1569918,2194759
"Brother Bear",2020-10-24,"Adventure","G",85336277,119218333
"The Haunted Mansion",2020-11-26,"Comedy","PG",75817994,105775678
"Calendar Girls",2020-12-19,"Comedy","PG-13",31011616,42379650
"Young Black Stallion",2020-12-25,"Adventure","G",6751389,9254344
"Teacher's Pet: The Movie",2020-01-16,"Comedy","PG",6491969,8812764
"Miracle",2020-02-06,"Drama","PG",64378093,87392478
